Id_ind;session_details;enq_id;enq_ville;enq_ecole;enq_classe;fam_id;pers_parente;pers_sexe;niveau_scolaire
37;session3;2134;Orgères;Grain d'Orges;CM1;12107HO;Un enfant;Femme;6ème
45;session3;2137;Orgères;Grain d'Orges;CM1;12109LA;Un parent;Femme;NULL
42;session3;2138;Orgères;Grain d'Orges;CM1;12109LA;Un enfant;Femme;6ème
53;session3;2141;Orgères;Grain d'Orges;CM1;12111MO;Un parent;Homme;NULL
50;session3;2142;Orgères;Grain d'Orges;CM1;12111MO;Un enfant;Homme;6ème
60;session3;2145;Orgères;Grain d'Orges;CM1;12113PI;Un parent;Femme;NULL
59;session3;2146;Orgères;Grain d'Orges;CM1;12113PI;Un enfant;Homme;6ème
68;session3;2151;Orgères;Grain d'Orges;CM1;12116TR;Un parent;Homme;NULL
67;session3;2152;Orgères;Grain d'Orges;CM1;12116TR;Un enfant;Homme;6ème
190;session3;2190;Orgères;Grain d'Orges;CM1-CM2;12307PA;Un enfant;Femme;6ème
143;session3;2194;Orgères;Grain d'Orges;CM1-CM2;12305GR;Un parent;Femme;NULL
145;session3;2195;Orgères;Grain d'Orges;CM1-CM2;12305GR;Un enfant;Femme;6ème
149;session3;2199;Orgères;Grain d'Orges;CM1-CM2;12302CO;Un parent;Femme;NULL
148;session3;2200;Orgères;Grain d'Orges;CM1-CM2;12302CO;Un enfant;Homme;6ème
191;session3;2220;Orgères;Grain d'Orges;CM1-CM2;12307PA;Un parent;Homme;NULL
297;session3;2277;Rennes;Liberté;CM1-CM2;23105JO;Un parent;Femme;NULL
313;session3;2278;Rennes;Liberté;CM1-CM2;23105JO;Un enfant;Femme;6ème
303;session3;2281;Rennes;Liberté;CM1-CM2;23107LE;Un parent;Femme;NULL
304;session3;2282;Rennes;Liberté;CM1-CM2;23107LE;Un enfant;Homme;6ème
